Instance;Size;#Tiles;Value;#Clauses;#Variables;TimeR;MemoryMad;TimeMad;MemoryMer;TimeMer;MemoryBFS;TIMEBFS
367;35;16;3;15515;4783;1800.04;2174.4;105.46;4085.4;1280.63;3188.9;1800.15
368;30;16;3;13249;4119;1018.20;1992.4;1800.1;4080.5;1048.03;6401.2;1307.86
369;36;16;3;16959;5140;1800.03;2192.8;182.54;4081.8;1138.91;6427.5;1582.79
370;35;16;3;16638;5093;1800.08;2139.7;1800.14;4076.5;938.52;6398.6;1162.59
371;49;16;2;23592;6803;1800.09;2208.3;1800.11;3962.1;1683.73;1494.8;1800.09
372;56;16;2;27237;7728;1800.09;2148.9;1800.17;3817.2;1800.03;2533.8;1800.2
373;56;16;2;27962;7863;1800.10;2133.4;1800.15;4036;1800.1;1900.7;1800.16
374;49;16;2;23392;6634;1800.05;2088.5;1800.13;4092.1;1586.76;1395;1800.09
375;54;16;2;24480;7109;1800.01;2221.1;176.9;4039.6;1800.09;2343.5;1800.12
376;48;16;2;21635;6390;34.99;2455.2;264.93;4091.3;1756;1532.2;1800.09
377;56;16;2;26841;7665;1800.02;2200.6;172.37;3895.2;1800.01;2164.5;1800.2
378;48;16;2;22223;6444;1800.04;2329.6;1800.14;4089.6;1533.14;1430.1;1800.11
379;48;16;2;21154;6247;86.49;2467.7;1221.9;4091.6;1665.72;1642.1;1800.09
380;63;16;2;31088;8680;1800.09;2312.1;1800.18;3943.9;1800.02;2888.8;1800.18
381;49;17;3;26026;7562;1800.05;2335.8;691.01;4075.7;1277.98;1460.8;1800.1
382;63;17;3;34894;9889;1800.03;2330.5;347.82;3596.2;1800.02;3010.2;1800.16
383;56;17;3;31409;8969;1800.09;2213.3;1800.14;3937.2;1160.66;2227.3;1800.17
384;54;17;3;30299;8699;1800.07;2262.9;180.95;3937;1715.77;1970.7;1800.16
385;56;17;3;30895;8909;1800.02;2220.4;1800.17;4076.1;1567.21;2092.3;1800.12
386;56;17;3;32009;9083;1800.10;2615;892.78;4071.5;1426.52;1816.4;1800.16
387;72;17;3;41418;11513;1800.02;2231.6;1800.17;4058.6;1733.18;4478.3;1800.24
388;63;17;3;35387;9832;1800.01;2510;509.25;4076.7;1599.34;2854.2;1800.2
389;54;17;3;29634;8670;1800.05;2494.9;538.51;3111.9;1800.09;1917.4;1800.13
390;56;17;3;29848;8614;1800.09;2477.8;1098.36;4076.3;1445.76;2226.7;1800.17

