Instance;Size;#Tiles;Value;#Clauses;#Variables;TimeR;MemoryMad;TimeMad;MemoryMer;TimeMer;MemoryBFS;TIMEBFS
205;25;11;3;5445;1778;0.43;2184.1;1800.17;3947;1071.32;4946.3;1800.26
206;24;11;3;6153;1966;1.50;2078.3;211.36;4086.4;897.21;5558;1800.19
207;25;11;3;6122;1966;1.21;2050.3;92.93;4089.3;1047.95;5303.2;1800.26
208;24;11;3;5987;1944;0.75;2020.4;1800.12;3989;792.1;5033.6;1800.24
209;25;11;3;6065;1938;0.98;2096.2;290.92;4084.1;989.03;5007.6;1800.3
210;25;11;3;5272;1690;0.81;2084.4;126.1;4089;1005.82;4613.6;1800.23
211;20;11;2;4342;1415;1.12;2118.5;440.63;3959.8;840.7;2741.3;1800.16
212;30;11;2;8109;2507;1.25;2153.8;155.25;4088.2;1055.15;5914;1800.35
213;20;11;2;4692;1544;0.25;2125;535.42;3943.4;858.13;2500.8;1800.2
214;25;11;2;5154;1658;0.45;2013.9;350.22;3938.6;1269.53;5999.9;1800.25
215;20;11;2;4424;1438;0.53;2254;581.62;3943.9;867.82;2510.8;1800.18
216;20;11;2;4773;1555;0.99;2123.8;505.1;4090.5;895.7;2243.4;1800.15
217;20;11;2;5098;1649;0.30;2108.1;410.6;4091.9;1202.59;2150.3;1800.14
218;25;11;2;6081;1940;0.50;2016.9;237.86;4090.6;987.86;6261.2;1800.27
219;24;11;2;5570;1796;0.81;2006;274.76;4091;1403.85;5931.5;1800.31
220;24;11;2;5308;1721;0.43;2062.8;349.35;4089.8;892.97;6360.4;1800.31
221;25;11;3;6343;2022;1.59;2085.3;170.02;4088;1025.67;5293.6;1800.28
222;30;11;3;7260;2329;0.40;2124.4;238.98;3946.5;1138.33;4687.2;1800.21
223;25;11;3;5906;1868;0.30;2088.8;776.45;4089.5;1111.19;5102.4;1800.24
224;30;11;3;7407;2322;1.25;2168.9;1800.18;3932;1007.3;4926.5;1800.27
225;25;11;3;5749;1847;0.45;1883.7;1800.12;3892.5;825.65;4911.8;1800.17
226;30;11;3;6358;2037;0.98;2163.3;328.75;4090.7;1208.23;4785.9;1800.3
227;30;11;3;6417;2002;0.50;2205.3;1074.53;4079.5;898.39;4841;1800.28
228;25;11;3;6047;1948;1.28;2073.5;1800.09;4083.1;935.2;4839;1800.27
229;30;11;3;6793;2157;1.05;1947.1;1800.14;4094.1;1480.49;4616.4;1800.19
230;30;11;3;7121;2253;1.05;2139.3;145.25;4089.9;1238;4497.7;1800.27
231;28;12;2;7637;2426;1.38;2156.8;380.63;3954.3;932.92;5125.6;1800.32
232;35;12;2;9160;2890;6.07;2175.6;1800.12;3956.4;1078.21;3431.6;1800.15
233;30;12;2;7141;2266;2.72;2081.4;541.97;3940.5;1053.75;3779.7;1800.25
234;36;12;2;9865;3095;1.84;2180.1;177.32;3944.8;1147.61;3702.1;1800.17
235;36;12;2;9283;2879;4.25;2302.3;865.92;3945;1311.14;3360.7;1800.17
236;25;12;2;6149;1963;0.58;2314.3;826.47;4093;995.03;5123.9;1800.26
237;35;12;2;10000;3099;21.49;2327.4;845.89;4090;1419.14;3545.2;1800.15
238;25;12;2;7153;2247;0.87;2002.7;1800.11;4090.2;993.27;5285.7;1800.2
239;35;12;2;9106;2811;14.27;2206.4;1066.51;4091;1191.67;3280.8;1800.16
240;35;12;2;9305;2916;9.07;2321.4;253.91;4091;1164.4;3613.7;1800.13
241;24;12;3;6750;2163;3.40;2098;258.46;3935.8;1288.49;4709.6;1800.35
242;30;12;3;8659;2745;3.53;2164;163.04;3924.4;892.18;4939.3;1800.24
243;25;12;3;7723;2415;13.98;2068.8;92.12;4090.1;1062.23;5627.6;1800.33
244;24;12;3;6868;2224;1.81;2085;122.05;3925.4;720.04;5463.6;1800.24
245;25;12;3;6605;2130;1.35;2193.3;449.08;3938.6;923.41;4960;1800.23
246;25;12;3;7822;2491;16.77;2203;305.2;4091.1;1098.94;5427.7;1800.34
247;25;12;3;6742;2155;3.23;2063.1;1800.11;4084.8;999.34;5209.9;1800.23
248;24;12;3;6531;2099;0.78;2040.9;136.52;4085;959.61;4833.2;1800.17
249;24;12;3;7073;2257;23.63;1985.2;1800.19;4088.4;971.2;5340.6;1800.31
250;25;12;3;7068;2238;6.68;2074.7;306.47;4092.1;1370.64;5149.7;1800.28
251;35;12;4;9728;3114;0.91;2173.2;206.24;3929.1;1028;6426.6;1153.27
252;30;12;4;8676;2774;1.16;1948.6;1800.16;3938.4;1102.56;4984.2;1800.31
253;30;12;4;9326;2921;1.22;1969.4;610.86;3922.5;1186.13;5360.9;1800.22
254;35;12;4;9810;3083;1.00;2040.3;242.99;3929.9;1164.09;6427.9;1022.88
255;30;12;4;8400;2655;0.91;2239.3;437.1;4086.9;1300.84;4904.6;1800.23
256;36;12;4;10987;3387;0.40;2070.6;1800.12;4078.6;1310.13;6424.9;1237.99
257;30;12;4;9292;2939;1.23;2160.2;1800.16;4082.4;1286.22;5031.3;1800.2
258;35;12;4;10720;3323;0.62;2091.2;1800.1;4081.5;1357.66;6426.2;1105.23
259;30;12;4;7701;2462;0.70;1964.8;1800.13;4076.4;1050.71;4900.5;1800.21
260;36;12;4;10007;3168;1.05;2116.3;1800.17;4083.6;1528.67;6424.6;1238.83
261;24;13;3;8120;2609;53.59;1992;1800.16;3954.1;1060.75;5194.7;1800.25
262;24;13;3;7556;2440;11.48;2065.2;123.26;3936.7;770.5;5176.1;1800.23
263;20;13;3;6529;2102;1.05;2110.1;1800.16;3928.6;782.18;5690.6;1800.35
264;25;13;3;8093;2583;262.38;2124.2;1800.14;4074.9;813.18;4924.7;1800.26
265;24;13;3;7597;2452;0.55;2241.2;1800.16;4090.2;1041.71;5014.4;1800.21
266;24;13;3;7995;2557;38.63;2072.4;143.67;4083.1;944.09;5078.5;1800.26
267;24;13;3;7662;2489;1.08;2060.9;206.37;4090.9;1088.89;4935.8;1800.22
268;25;13;3;8390;2675;3.35;2183.3;99.49;4087.9;913.87;5268.4;1800.29
269;20;13;3;6519;2110;4.51;1870.5;1800.13;4088.2;869.45;6140.5;1800.3
270;20;13;3;6470;2101;0.47;1851.3;1800.11;4087.4;850.48;5432.3;1800.23
271;24;13;2;7772;2478;5.30;2013.2;167.83;3939.9;874.33;5443.1;1800.33
272;25;13;2;7603;2428;63.31;2155.2;857.01;4090.9;963.91;4960.7;1800.26
273;30;13;2;9875;3092;1.12;2200.8;565.17;4090.2;1064.56;4229.3;1800.2
274;25;13;2;7340;2338;0.92;2173.5;352.88;3945.8;981.93;4603.7;1800.26
275;24;13;2;7535;2392;0.77;2184.6;516.72;4090.1;936.96;5352.8;1800.26
276;25;13;2;7357;2359;0.64;2297.9;721.57;4090.6;926.16;4985.7;1800.3
277;28;13;2;8185;2595;1.02;2112.5;490.63;4091.9;1008.87;4394.6;1800.15
278;28;13;2;8558;2706;1.59;2105.1;491.28;4090.3;1024.95;4350.1;1800.19
279;25;13;2;8343;2612;0.36;2321.4;1776.7;4089.3;935.03;5159.1;1800.25
280;25;13;2;7690;2452;0.44;2169.1;798.5;4089.2;1194.11;5020.8;1800.23
281;40;13;3;13057;3986;12.27;2085.3;1800.1;4082.3;1251.61;6424.7;1184.73
282;42;13;3;13361;4027;36.01;2315.7;569.32;3939.3;1382.31;6420.9;1708.38
283;42;13;3;13361;4052;50.84;2066.4;1800.12;4081.4;1339.63;6422.4;1754.27
284;36;13;3;11381;3553;38.25;2207.7;168.4;3942.1;1760.96;6426.6;1322.2
285;36;13;3;11883;3666;85.16;2141.4;1800.12;3934.9;1316.92;6427.5;1355.03
286;36;13;3;10650;3299;4.27;2314.5;138.81;4088.4;1376.92;6426;1373.98
287;36;13;3;10777;3361;11.83;2090.4;1800.15;4082.4;1177.03;6426.1;1612.33
288;36;13;3;11386;3507;20.97;2198.8;246.61;4072.5;1032.77;6428.4;1378.78
289;35;13;3;11562;3578;30.78;2213.2;164.62;4080.5;1040.54;6428.8;1228.88
290;35;13;3;11273;3507;10.49;2354.1;251.27;4083.5;1171.14;6429.1;1297.84
291;42;14;2;14999;4487;82.56;2238.2;135.2;3881.1;1329.42;5792.4;1800.23
292;35;14;2;11618;3596;0.75;2181.7;738.06;3964;1130.93;6404.1;1324.49
293;48;14;2;18397;5467;7.42;2115.6;1800.08;4088.8;1581.68;3101.7;1800.2
294;42;14;2;15098;4538;28.06;2236.1;1443.14;3932.8;1356.5;6381.2;1800.3
295;48;14;2;17404;5228;1800.07;2475.3;237.02;3953.8;1601.47;4502.1;1800.23
296;36;14;2;12775;3876;12.25;2044;1800.1;4090.1;1338.3;6405.4;1523.21
297;42;14;2;14682;4393;1800.06;2144;1800.16;3999.7;1322.18;5603.6;1800.23
298;40;14;2;14477;4410;51.63;2250.1;280.89;4090.9;1362.91;6403.5;1734.83
299;42;14;2;14793;4495;1800.09;2247;164.34;4071.2;1400.37;6401.6;1740.62
300;42;14;2;14099;4328;1800.08;2182;1800.13;4041.4;1374;5340.7;1800.26
